,y_
423,-2.299916312917255
424,-2.3527520787025287
425,-2.365562315945957
426,-2.3420900849980706
427,-2.340327391649174
428,-2.364722276797251
429,-2.3390933743290065
430,-2.323089972872436
431,-2.3413915313465887
432,-2.3908389998420283
433,-2.2461034915897513
434,-2.312232340662728
435,-2.297834408912899
436,-2.320422930738145
437,-2.348289697717598
438,-2.3050392576742142
439,-2.3722969496741144
440,-2.3571633172173945
441,-2.4079011393972625
442,-2.3756547780602295
443,-2.3555400228774124
444,-2.393614572882141
445,-2.373087310921921
446,-2.400507407410392
447,-2.381203114127011
448,-2.3995955707300918
449,-2.413791246380767
450,-2.3873504621398953
451,-2.334257950374386
452,-2.311809852986777
453,-2.3499569399795
454,-2.378820835730787
455,-2.391398784095342
456,-2.402902107481401
457,-2.4192038248599825
458,-2.4143545666434765
459,-2.3870706413539784
460,-2.405737667128922
461,-2.325807546527153
462,-2.2343403494390675
463,-2.2652028524115857
464,-2.306265175677115
465,-2.3044986323523045
466,-2.300657364392377
467,-2.349076751174466
468,-2.332963475860067
469,-2.4004111614602217
470,-2.375618728660033
471,-2.3932763027100736
472,-2.4170857295908856
473,-2.412502904003727
474,-2.3264064884777893
475,-2.3377111202135903
476,-2.3701505639755442
477,-2.3823077381139126
478,-2.3662026880292686
479,-2.4552690238924493
480,-2.4233206789651844
481,-2.395870648547965
482,-2.3935900751897985
483,-2.3221809434046685
484,-2.384355508793082
485,-2.2856323515635166
486,-2.198330087369598
487,-2.389284028589139
488,-2.2698459668060815
489,-2.2812322083059144
490,-2.3016974165008115
491,-2.321721107957336
492,-2.293103228566752
493,-2.3273000296669553
494,-2.2635196168655707
495,-2.335563230063969
496,-2.252044137009001
497,-2.330064538923502
498,-2.283445164717099
499,-2.350808139106236
500,-2.397953385546069
501,-2.2839281380108387
502,-2.358486564598545
503,-2.3607967460427615
504,-2.286454743526704
505,-2.402434502310104
506,-2.3516608876003127
507,-2.3074885681392794
508,-2.364421988168751
509,-2.303633960178063
510,-2.3851211693421233
511,-2.391080639799978
512,-2.371287305627932
513,-2.33460548226132
514,-2.233072871639004
515,-2.355249358251043
516,-2.364825084330696
517,-2.363698493206668
518,-2.3718833523850797
519,-2.279016243065338
520,-2.3718385648374225
521,-2.400202802964219
522,-2.256552957722209
523,-2.42533443729742
524,-2.3483134941808865
525,-2.349850708832859
526,-2.3770324727058614
527,-2.347336188393137
528,-2.2960700766515405
529,-2.39164094105852
530,-2.3812010316178505
531,-2.409237786231246
532,-2.3761753480397276
533,-2.380675017156986
534,-2.3763418166018058
535,-2.3771822196093675
536,-2.2336521687885273
537,-2.3513268032769203
538,-2.3967022829433997
539,-2.33511091578343
540,-2.392966743342167
541,-2.4039087807581363
542,-2.3936234974026513
543,-2.412511655227749
544,-2.31461799279156
545,-2.355338595944094
546,-2.4071264658194833
547,-2.3425283713323135
548,-2.4026646021456175
549,-2.4042670053468687
550,-2.374428903225761
551,-2.4351663620550577
552,-2.399667784103171
553,-2.3547125819773544
554,-2.27911617557808
555,-2.3630081447476496
556,-2.3633051317091787
557,-2.304879804171318
558,-2.21008424041492
559,-2.3491735373363007
560,-2.384401765665164
561,-2.3484939952399513
562,-2.334816301943916
563,-2.37592151430317
564,-2.373325958851205
565,-2.36509461700788
566,-2.3351285351658464
567,-2.3426274740844053
568,-2.3821779883722787
569,-2.37123813370195
570,-2.3378994977858323
571,-2.2959500239038526
572,-2.3912842674475856
573,-2.397035951704702
574,-2.3712885220997473
575,-2.367769320710315
576,-2.3823569084544367
577,-2.2904748279762845
578,-2.2603073820393416
579,-2.313163205889907
580,-2.353875358965694
581,-2.3619822929967285
582,-2.243875420503607
583,-2.3342489986025243
584,-2.301532028638886
585,-2.4004513162067154
586,-2.395795562072284
587,-2.3486201329049585
588,-2.3713528760525078
589,-2.3281511836548834
590,-2.3134925228609395
591,-2.366040901974838
592,-2.384235005505725
593,-2.3761374365095933
594,-2.3931835090754743
595,-2.330130750585508
596,-2.389881027735054
597,-2.348414882701192
598,-2.4040186442355553
599,-2.38024822429757
600,-2.347734100826448
601,-2.3026508734371296
602,-2.354465044960687
603,-2.3348921031622187
604,-2.3316557068391695
605,-2.3897573780091097
606,-2.328792174323186
607,-2.3384401492698617
608,-2.343401366576696
609,-2.367140302958534
610,-2.361326224450618
611,-2.3975803510754283
612,-2.366248855995219
613,-2.383709902502313
614,-2.3613144769283405
615,-2.3599463977089337
616,-2.3063569855475397
617,-2.3750862481111255
618,-2.328403434999403
619,-2.2863411692288063
620,-2.3871468571276924
621,-2.3663487579471703
622,-2.3474842524893953
623,-2.381623553653725
624,-2.39347621284879
625,-2.3057562247940178
626,-2.3417445886789
627,-2.364655164833904
628,-2.3484873744571844
629,-2.263504949100352
630,-2.338373383719157
631,-2.399975494457842
632,-2.376930847660148
633,-2.373264774787834
634,-2.364002148209355
635,-2.3219828861008445
636,-2.3791316654573773
637,-2.366213981447256
638,-2.3594792747953144
639,-2.2895243022694043
640,-2.255703921500322
641,-2.300809400914082
642,-2.3232869671168572
643,-2.3153363783487846
644,-2.3262137771557088
645,-2.342087873896582
646,-2.3747077979610203
647,-2.3597805544260293
648,-2.3864103993059667
649,-2.3445274794110866
650,-2.303285195352282
651,-2.38365357072233
652,-2.432560122797175
653,-2.43906584311484
654,-2.447245372853274
655,-2.4027070150481533
656,-2.400649765566727
657,-2.4428411229769877
658,-2.3985505044424507
659,-2.4107092972027067
660,-2.405135469756951
661,-2.3990740355333044
662,-2.2709053214109485
663,-2.2922544587944014
664,-2.2668365880414405
665,-2.206759371826461
666,-2.3277751493980543
667,-2.2233903728345807
668,-2.306562417595462
669,-2.2660688857776363
670,-2.292589791028043
671,-2.2817881278859655
672,-2.222030485940785
673,-1.9787904565486665
674,-1.9951811372933927
675,-2.178038197176619
676,-2.1420525995941846
677,-2.167353846235909
678,-2.2234161614149355
679,-2.291774606420538
680,-2.2966404414996933
681,-2.204165634890035
682,-2.3412740320976413
683,-2.2933211805003006
684,-2.3074363383492194
685,-2.2815741908095553
686,-2.328667531240999
687,-2.3346299859348894
688,-2.2615703419926705
689,-2.3637848272478275
690,-2.2377456459455045
691,-2.309783134443925
692,-2.3187857431483803
693,-2.3589886077889903
694,-2.305083749777066
695,-2.2880697776102896
696,-2.2492716986261163
697,-2.239378990158621
698,-2.2792690040747203
699,-2.2341366052588283
700,-2.315772737473562
701,-2.3513547777530577
702,-2.3334204602528965
703,-2.384668222209812
704,-2.370591322309859
705,-2.357036752301754
706,-2.339389545325827
707,-2.3643317021066714
708,-2.3693463158189156
709,-2.350849077023058
710,-2.38758358984305
711,-2.2655520094218935
712,-2.3140494291738096
713,-2.263519035594097
714,-2.2275864649595594
715,-2.3007203376898997
716,-2.3462184725227537
717,-2.36288208268998
718,-2.353942726054114
719,-2.3471718958612824
720,-2.3562790051507103
721,-2.3596429959083327
722,-2.363218583375342
723,-2.3719356412866213
724,-2.3653311422738645
725,-2.3585323923701322
726,-2.3167129950372765
727,-2.195648935429169
728,-2.3423365510751477
729,-2.2863067068760308
730,-2.3129303641926415
731,-2.337839807919613
732,-2.3508370903443687
733,-2.3474131937986518
734,-2.37464173126285
735,-2.357363049300412
736,-2.3368986721135854
737,-2.345158625745773
738,-2.379718196363468
739,-2.3765788644435135
740,-2.3802389459921383
741,-2.3847119824046454
742,-2.3890622563221577
743,-2.3668583727567394
744,-2.325286166780317
745,-2.2809495267571096
746,-2.2950494021907777
747,-2.316008696163712
748,-2.314127890294035
749,-2.2636533019306024
750,-2.3178340786139935
751,-2.3670730805171845
752,-2.362615599100125
753,-2.3590737264536985
