,y_
414,-2.2833494587900978
415,-2.281877650172154
416,-2.2541068275192293
417,-2.2725058008437635
418,-2.281974342002471
419,-2.2557413604349983
420,-2.276348742154049
421,-2.3061178553020434
422,-2.2874135724922287
423,-2.307487378596177
424,-2.2801047500108105
425,-2.282163226208379
426,-2.292220796885876
427,-2.3034705372202025
428,-2.311678074705642
429,-2.3023157247832398
430,-2.285307753920714
431,-2.2772090861570438
432,-2.2722741377801365
433,-2.2889254474688485
434,-2.29953558468468
435,-2.2943808337186997
436,-2.3006028346465035
437,-2.275415578528151
438,-2.285739471217705
439,-2.3199281451063904
440,-2.286357001886267
441,-2.281368272836633
442,-2.2916093705319978
443,-2.294449774507895
444,-2.2859067242888345
445,-2.2885226830389462
446,-2.258216347052331
447,-2.282364480421233
448,-2.2934935869422746
449,-2.289560318984433
450,-2.312118676371744
451,-2.318451089439579
452,-2.2593937447372507
453,-2.304819117585394
454,-2.310306553546658
455,-2.2613738172450555
456,-2.279255965910477
457,-2.2829731211497553
458,-2.244684731013639
459,-2.2707368724875137
460,-2.244210744067524
461,-2.3590089102236624
462,-2.272346848478701
463,-2.2773077446210195
464,-2.2571768887337424
465,-2.237608291164464
466,-2.241021569930771
467,-2.3666702119599146
468,-2.334738039444269
469,-2.260000426755797
470,-2.2444137311673558
471,-1.8922474677864143
472,-2.2516179849941755
473,-2.247675213599501
474,-2.286465715234565
475,-2.2786080903774857
476,-2.266309949561955
477,-2.2745348951614286
478,-2.261321905181649
479,-2.273266794538465
480,-2.258304847435518
481,-2.250277348893097
482,-2.2570311929807394
483,-2.243877680450076
484,-2.2548626463426484
485,-2.2518641432924733
486,-2.241575543518128
487,-2.297611804498854
488,-2.2632348906556574
489,-2.2864014528618473
490,-2.28008028335885
491,-2.2609414367525584
492,-2.2596778849441255
493,-2.268293610303955
494,-2.2671842632584793
495,-2.2591494586313523
496,-2.2572607784911365
497,-2.2929365904738828
498,-2.266523357053414
499,-2.263840755001194
500,-2.2741849219413948
501,-2.241068118054568
502,-2.240858721014184
503,-2.2688117035614424
504,-2.260668154918401
505,-2.290140408857809
506,-2.2730932771851804
507,-2.248342441423891
508,-2.2028817054460523
509,-2.2234147961054767
510,-2.2616785020254073
511,-2.240263690268837
512,-2.2264467813432276
513,-2.250299017843836
514,-2.2840342332610417
515,-2.2377129554820576
516,-2.2660215098986107
517,-2.2172614323329567
518,-2.273048275236469
519,-2.259353312811846
520,-2.2457739577685554
521,-2.2286753869847047
522,-2.2929308791850986
523,-2.2997770444931303
524,-2.2604945825360794
525,-2.2411887151363983
526,-2.259062862896323
527,-2.2317967941169394
528,-2.2812143650266634
529,-2.1804696218810578
530,-2.298568303400184
531,-2.2296106508105176
532,-2.304248674778327
533,-2.313381991282469
534,-2.3098956257914294
535,-2.2664524372161563
536,-2.287759673119206
537,-2.228807501238326
538,-2.2435805175959067
539,-2.2316935441412826
540,-2.0770819266245546
541,-2.2489864352301643
542,-2.2170953849414143
543,-2.2410025322154805
544,-2.2126745754919828
545,-2.236805767594839
546,-2.232077724906792
547,-2.2399397091196867
548,-2.1127448356746665
549,-2.2413002283392083
550,-2.3466111926672033
551,-2.304503237434455
552,-2.30214171622388
553,-2.2666390215021304
554,-2.331640506836653
555,-2.3032007391800757
556,-2.315588394174077
557,-2.311265880822275
558,-2.3044152051948372
559,-2.2973384050866983
560,-2.2904983555793996
561,-2.3100006320374455
562,-2.261105014978259
563,-2.205387431103507
564,-2.2660764281287626
565,-2.152421807383611
566,-2.00172751415884
567,-1.9981493859785138
568,-1.9780771901588452
569,-2.0135252624895905
570,-2.2247569536359233
571,-2.2441763342456897
572,-2.066093752461475
573,-2.1055756193913298
574,-2.087066214868647
575,-2.0036561005491995
576,-2.025059228469052
577,-1.926970734645505
578,-1.8916491671688338
579,-1.9893637974213862
580,-1.8933283559300451
581,-2.004216480425409
582,-2.2365373211540067
583,-2.2260232686879773
584,-2.206362906669802
585,-1.9534635974134176
586,-1.9539675492998796
587,-1.9694270510280811
588,-1.952201485868382
589,-1.9123914665476769
590,-2.219256576199665
591,-1.9212562146430394
592,-2.240265194307421
593,-1.9115086235944412
594,-1.879328821666552
595,-1.91662744218313
596,-1.9444950274100183
597,-2.213346326114541
598,-1.94002579692727
599,-2.224668987163907
600,-2.2061792807729654
601,-2.2259400783020804
602,-1.9952898766110225
603,-1.9011452747048618
604,-1.9256818232631596
605,-1.934966175424404
606,-2.2086163718171496
607,-1.9204773945755824
608,-2.2174775097480723
609,-1.9467577838612513
610,-1.9144012810553332
611,-1.9480035921489522
612,-1.969023348442051
613,-2.1471148433756024
614,-2.0933664956919547
615,-2.0999349178782967
616,-2.08365227101268
617,-2.0958973812184425
618,-2.0304352642698533
619,-2.1424936166234447
620,-2.1413493247914577
621,-1.986649222710614
622,-2.0934392158760806
623,-2.221931912443971
624,-1.9607649657921846
625,-1.981026195788586
626,-1.9033128807531112
627,-1.9468922727144917
628,-2.2265214447408628
629,-2.214831510657029
630,-2.20934219524689
631,-2.227639595415108
632,-1.9093606018638225
633,-1.895087061177841
634,-2.2370758494723657
635,-2.230301037300855
636,-2.2231612193408066
637,-2.2212790942916865
638,-1.8926732513179074
639,-1.8900858088805508
640,-1.9179986852307245
641,-1.9263105732910977
642,-1.872348579519201
643,-1.8965760592428134
644,-1.94987037388829
645,-1.9507016060818831
646,-1.9765801876245392
647,-2.228603566488942
648,-2.2356257011100107
649,-2.2314182367237385
650,-2.231873515631755
651,-1.9913194268435592
652,-2.23240226396695
653,-2.240289086236544
654,-2.2343356336486844
655,-2.227733784551089
656,-2.2401382544352213
657,-2.239449663366507
658,-2.2305060815658844
659,-2.238716207448509
660,-1.9406648450866983
661,-1.8946011689617428
662,-1.9074723036918888
663,-1.992911833647654
664,-2.04562859667907
665,-1.975838081516578
666,-1.9666959431221749
667,-1.9646420458303515
668,-1.9795355848344294
669,-1.9532813174138006
670,-2.2348996297147123
671,-2.2383895632573667
672,-2.2347293968283846
673,-2.249236456118521
674,-2.240596787599193
675,-2.233664292350457
676,-2.1445220373580334
677,-2.1590957013335825
678,-2.1429030374721334
679,-2.072491650765037
680,-2.19852261241148
681,-2.2168299040317274
682,-2.1280051019718487
683,-2.156930262544164
684,-2.083432660921114
685,-2.0825094289177457
686,-2.2406320994167026
687,-2.2729930454821123
688,-2.3181859718172757
689,-2.297107107931909
690,-2.273826044523242
691,-2.273739810279599
692,-2.2615423840808067
693,-2.3090634915770085
694,-2.3163880211616417
695,-2.285180611478615
696,-2.3037566640154656
697,-2.2897983043672383
698,-2.2935789458742235
699,-2.239662449486794
700,-2.2755097950420553
701,-2.278854260811923
702,-2.2734967023321815
703,-2.2742705996743404
704,-2.2475162092197696
705,-2.2551577798257054
706,-2.265741422549702
707,-2.2761166119342935
708,-2.2684382380821555
709,-2.266133840693211
710,-2.2888974041341936
711,-2.2523578738382177
712,-2.2512892060234972
713,-2.2838924104857354
714,-2.301333513126237
715,-2.280170462515338
716,-2.2943296431897098
717,-2.2784349157309256
718,-2.2889600824766747
719,-2.278034281256322
720,-2.292187594696894
721,-2.2902451868985008
722,-2.254245936557954
723,-2.2661398844955976
724,-2.2323603613470984
725,-1.9127679806463125
726,-1.967781964915302
727,-1.9735912206928374
728,-1.9578880301279316
729,-1.9261994125927517
730,-1.8968893435492797
731,-1.9901095253416625
732,-1.9540865717802152
733,-1.917257548189622
734,-1.935860463464565
735,-1.906463115473035
736,-1.9230250479523
737,-1.865402603570554
738,-1.9060211789788621
739,-1.9679556529113027
740,-1.8949660438852514
741,-1.9313219803420831
742,-2.2252392130380354
743,-2.2386251927322465
744,-2.246178502578016
745,-2.2389758211261013
746,-2.2271125802542224
747,-2.2249189841181494
748,-2.2332520274373175
749,-2.2321762125615985
750,-2.2368990093160614
751,-1.9402226277329973
752,-2.214718904722784
753,-2.2334146606684855
754,-2.2470707171047843
755,-2.217120817939434
756,-2.2427763817613195
757,-2.2393627673395575
758,-2.2457095874777346
759,-2.249737729108987
760,-2.2444338536769797
761,-2.249219912605392
762,-2.24449709112773
763,-2.2452295759517447
764,-2.2383464155995205
765,-2.236513122892609
766,-2.2363744057896797
767,-2.2416655053536707
768,-2.231050147360401
769,-2.2406708442409906
770,-2.2410631055249874
771,-2.2356555578122594
772,-2.246114822630183
773,-2.2376392909223544
774,-2.2421420147169977
775,-2.229495603698147
776,-2.2463388806253346
777,-2.2415783270537606
778,-2.2376477342248067
779,-2.237472287930312
